restaurant_id,name,area,cuisine,price_band,rating,review_count,source,source_table,address,restaurant_url,has_menu_data
81,Layers Bakeshop - DHA Phase 6,DHA,Cakes & Bakery,,4.5,500,foodpanda_lahore,restaurants_clean,,,False
82,Ice Bear – DHA,DHA,Desserts,,4.7,100,foodpanda_lahore,restaurants_clean,,,False
83,Lahore Chatkhara - Dha phase 6,DHA,Pakistani,,3.7,100,foodpanda_lahore,restaurants_clean,,,False
84,Kickstart Cafe - DHA Phase 6,DHA,Fast Food,,4.1,1000,foodpanda_lahore,restaurants_clean,,,False
85,Karachi Kanteen - Defence Raya,DHA,Fast Food,,3.4,100,foodpanda_lahore,restaurants_clean,,,False
86,Saku Hana-DHA Raya,DHA,Chinese,,4.5,10,foodpanda_lahore,restaurants_clean,,,False
87,My Karak Chai-DHA Raya,DHA,Pakistani,,4.4,9,foodpanda_lahore,restaurants_clean,,,False
88,Costa Coffee - Defence Raya,DHA,Continental,,4.1,100,foodpanda_lahore,restaurants_clean,,,False
89,Gauchos DHA Raya,DHA,Fast Food,,2.6,3,foodpanda_lahore,restaurants_clean,,,False
90,Baranh - DHA Raya,DHA,Pakistani,,4.3,100,foodpanda_lahore,restaurants_clean,,,False
91,Caprinos - DHA Raya,DHA,Fast Food,,4.1,100,foodpanda_lahore,restaurants_clean,,,False
92,The Canvas - DHA Raya,DHA,Pakistani,,4.9,3,foodpanda_lahore,restaurants_clean,,,False
93,Pink Pistachio - DHA Raya,DHA,Fast Food,,3.8,81,foodpanda_lahore,restaurants_clean,,,False
94,Cafe Beirut - DHA Raya,DHA,Continental,,3.3,84,foodpanda_lahore,restaurants_clean,,,False
95,The Tipsy Co - DHA Raya,DHA,Continental,,4.5,40,foodpanda_lahore,restaurants_clean,,,False
96,Luxury Lounge- DHA,DHA,Fast Food,,3.0,1,foodpanda_lahore,restaurants_clean,,,False
97,Mommmy's Kitchen - DHA,DHA,Pakistani,,4.2,100,foodpanda_lahore,restaurants_clean,,,False
98,Mashallah Alamgir Hotel - Dha Lhe,DHA,Pakistani,,3.1,91,foodpanda_lahore,restaurants_clean,,,False
99,Ashiq Fresh Juice - DHA,DHA,Burgers,,2.2,22,foodpanda_lahore,restaurants_clean,,,False
100,Red Chilli's - DHA,DHA,Fast Food,,2.8,6,foodpanda_lahore,restaurants_clean,,,False
101,Awami Pulao - DHA,DHA,Pakistani,,3.0,5,foodpanda_lahore,restaurants_clean,,,False
102,Asli Karachi Paratha Roll - DHA,DHA,Pakistani,,4.0,100,foodpanda_lahore,restaurants_clean,,,False
103,English Tea House - DHA,DHA,Continental,,4.5,100,foodpanda_lahore,restaurants_clean,,,False
104,Forks n Knives Pizza Kitchen - DHA Y Block,DHA,Pizza,,3.9,3000,foodpanda_lahore,restaurants_clean,,,False
105,Sadiq Halwa Puri - DHA,DHA,Pakistani,,3.7,76,foodpanda_lahore,restaurants_clean,,,False
106,Grato Jalaybi -DHA,DHA,Pakistani,,4.7,5,foodpanda_lahore,restaurants_clean,,,False
107,Khalis 365 - DHA,DHA,Desserts,,4.1,100,foodpanda_lahore,restaurants_clean,,,False
108,Amritsari Kashmiri Harissa - DHA,DHA,Pakistani,,2.1,5,foodpanda_lahore,restaurants_clean,,,False
109,Dairy Culture - DHA,DHA,Pakistani,,3.7,4,foodpanda_lahore,restaurants_clean,,,False
110,Thoughtful Kitchen - DHA Phase 2,DHA,Healthy Food,,2.8,21,foodpanda_lahore,restaurants_clean,,,False
111,Munching Minion - DHA,DHA,Fast Food,,3.6,100,foodpanda_lahore,restaurants_clean,,,False
112,Gloria Jeans - DHA T Block,DHA,Continental,,3.4,20,foodpanda_lahore,restaurants_clean,,,False
113,Pizza Town - DHA,DHA,Fast Food,,3.9,100,foodpanda_lahore,restaurants_clean,,,False
114,BLENDZ-DHA,DHA,Desserts,,4.3,100,foodpanda_lahore,restaurants_clean,,,False
115,Sweet Affairs - DHA,DHA,Fast Food,,2.5,7,foodpanda_lahore,restaurants_clean,,,False
116,Ghar Say Ghar Tak - DHA,DHA,Pakistani,,3.5,100,foodpanda_lahore,restaurants_clean,,,False
117,Chinese Min - DHA,DHA,Chinese,,4.0,1000,foodpanda_lahore,restaurants_clean,,,False
118,De Cafe & Restaurant - DHA,DHA,Fast Food,,1.0,1,foodpanda_lahore,restaurants_clean,,,False
119,Juicy Chuck-Barki Road DHA phase 8,DHA,Pasta,,3.6,100,foodpanda_lahore,restaurants_clean,,,False
120,Uncles Grill - DHA,DHA,BBQ,,4.0,100,foodpanda_lahore,restaurants_clean,,,False
121,Pak Broast-DHA,DHA,Pakistani,,4.4,14,foodpanda_lahore,restaurants_clean,,,False
122,Spice Bazaar - DHA,DHA,Pakistani,,3.8,100,foodpanda_lahore,restaurants_clean,,,False
123,ZINGO-DHA PHASE 6,DHA,Burgers,,4.2,500,foodpanda_lahore,restaurants_clean,,,False
124,Eto Burgers - DHA Phase 6,DHA,Fast Food,,4.4,500,foodpanda_lahore,restaurants_clean,,,False
125,CVCL- DHA Raya,DHA,Fast Food,,1.5,34,foodpanda_lahore,restaurants_clean,,,False
126,Forks n Knives Pizza Kitchen - DHA,DHA,Pizza,,3.5,100,foodpanda_lahore,restaurants_clean,,,False
